wavelength,0,1,2,3,4,5,6,7,8,9,10
464.248,16,13,12,12,9,8,5,2,-1,-2,0
464.712,18,12,19,12,11,7,7,4,6,1,3
465.175,18,14,16,9,9,7,5,4,2,7,2
465.639,18,15,14,13,7,8,2,1,5,-3,-3
466.102,19,15,16,13,9,9,8,6,0,3,4
466.566,19,15,17,10,9,7,1,3,1,4,0
467.029,18,14,12,13,8,6,7,1,4,2,2
467.493,15,14,9,7,6,7,1,2,3,2,-2
467.957,22,19,12,14,10,8,3,1,3,0,2
468.42,24,22,13,13,11,8,5,5,2,-2,2
468.884,20,18,17,12,10,2,10,2,0,2,1
469.348,25,18,23,13,11,7,6,7,7,7,1
469.812,25,18,18,14,13,7,5,3,6,7,-1
470.276,30,26,20,14,11,12,9,7,4,0,-1
470.74,31,26,26,18,13,11,15,7,4,7,6
471.204,28,21,22,14,9,5,6,3,4,2,5
471.667,31,21,25,18,11,8,7,6,5,6,0
472.131,30,26,29,21,16,12,10,7,1,4,-1
472.596,31,28,24,17,11,11,5,5,3,1,1
473.06,37,32,29,23,20,15,13,9,7,3,9
473.524,39,30,28,15,14,13,12,4,7,2,0
473.988,37,29,32,22,17,13,10,4,4,3,0
474.452,34,33,30,25,18,14,8,9,8,6,3
474.916,34,31,29,26,13,17,12,10,6,5,4
475.381,34,31,31,23,14,13,12,9,4,2,-2
475.845,41,32,34,27,18,13,11,7,6,3,3
476.309,41,34,36,26,20,16,7,7,8,7,1
476.774,44,33,35,27,22,14,11,6,7,4,1
477.238,44,39,34,29,24,16,11,7,2,5,2
477.703,46,36,36,28,23,14,12,6,4,3,2
478.167,50,46,41,32,24,19,15,13,13,9,4
478.632,45,39,39,27,22,13,10,8,6,4,-1
479.096,50,41,45,30,22,16,15,8,3,5,0
479.561,52,44,43,28,22,17,11,11,6,2,6
480.026,58,48,41,37,30,17,17,12,8,6,8
480.49,55,49,44,37,26,24,15,12,9,6,4
480.955,60,49,50,37,27,25,17,11,10,4,4
481.42,60,52,51,39,27,20,16,8,5,9,1
481.885,64,55,51,42,33,24,20,5,7,5,3
482.349,68,55,55,40,32,24,21,8,9,5,6
482.814,74,61,64,49,37,30,20,16,11,11,8
483.279,75,62,60,45,35,28,18,16,9,8,3
483.744,75,64,63,51,37,27,21,16,7,10,7
484.209,85,74,71,58,40,32,27,17,15,15,9
484.674,89,74,71,55,40,32,19,13,10,8,3
485.139,92,79,76,59,44,31,23,15,14,9,9
485.604,95,82,83,62,46,39,25,17,15,9,9
486.069,100,83,84,63,50,35,28,15,16,12,9
486.535,108,90,87,63,49,37,30,13,11,8,2
487,115,96,91,69,54,43,29,18,15,9,6
487.465,117,101,96,73,57,37,32,22,16,10,3
487.93,122,99,98,74,58,45,28,22,16,10,7
488.396,122,105,105,79,58,43,30,21,18,9,8
488.861,129,110,105,82,60,44,29,20,18,13,8
489.327,135,118,112,84,71,50,43,24,17,14,9
489.792,139,116,114,88,73,51,37,25,18,15,6
490.258,143,119,113,91,69,51,39,27,16,10,11
490.723,146,126,121,95,72,55,39,25,17,12,11
491.189,151,131,126,96,72,54,41,26,22,14,7
491.654,150,125,127,94,75,53,43,25,18,10,8
492.12,152,128,125,97,77,52,35,28,17,17,7
492.586,156,133,130,103,74,55,42,28,19,14,5
493.051,158,135,131,102,78,58,41,30,20,11,10
493.517,164,141,137,103,79,61,41,28,22,16,9
493.983,175,150,144,109,87,57,48,31,24,17,12
494.449,177,151,153,115,90,67,45,31,26,18,10
494.915,182,151,148,116,88,65,48,29,20,13,7
495.38,185,155,158,120,92,67,51,34,28,18,8
495.846,187,164,155,116,90,65,51,35,23,12,9
496.312,194,164,157,119,92,68,52,33,22,15,12
496.778,208,175,173,133,101,75,56,37,29,18,16
497.244,202,172,170,134,101,74,58,34,24,17,15
497.711,216,187,180,135,105,77,54,39,25,17,15
498.177,216,184,179,140,106,74,58,37,27,20,15
498.643,227,194,184,143,110,83,59,39,29,22,13
499.109,235,198,195,152,117,89,59,39,28,23,15
499.575,242,208,203,158,121,90,65,42,29,22,16
500.042,244,210,201,152,119,86,66,39,30,22,12
500.508,251,213,212,164,121,90,68,45,34,24,14
500.974,261,217,219,165,125,94,66,42,30,25,13
501.441,269,225,221,170,128,93,68,43,31,24,14
501.907,274,235,228,178,134,99,72,46,32,23,14
502.374,280,243,228,179,137,100,77,47,36,22,15
502.84,290,245,240,183,147,101,76,51,37,24,20
503.307,294,247,238,185,139,104,79,52,42,24,17
503.773,294,251,246,191,149,110,78,51,38,22,14
504.24,296,257,246,190,144,103,76,52,35,26,18
504.707,307,263,254,192,153,107,81,53,40,29,17
505.173,309,264,254,199,151,110,81,55,34,27,16
505.64,313,269,262,201,155,118,85,56,38,29,18
506.107,318,273,261,201,150,113,80,52,35,25,14
506.574,315,268,263,200,154,116,81,54,37,27,17
507.04,321,280,267,202,156,117,81,54,39,29,18
507.507,330,280,271,206,158,115,86,54,40,27,18
507.974,332,280,277,212,162,120,86,59,42,31,20
508.441,338,282,278,217,160,121,90,60,41,31,24
508.908,331,283,275,215,162,123,88,58,43,28,23
509.375,340,290,277,216,169,118,89,54,41,26,16
509.842,345,292,286,220,172,120,90,64,43,27,22
510.31,345,295,290,221,166,125,95,56,40,28,23
510.777,343,289,284,218,167,124,90,59,41,27,17
511.244,352,309,291,228,172,125,92,63,49,33,26
511.711,362,306,298,227,177,130,96,67,44,35,19
512.178,367,310,298,234,176,131,100,68,44,32,25
512.646,359,300,292,230,174,129,92,58,45,31,22
513.113,370,318,305,236,178,136,98,63,48,30,22
513.58,373,315,307,235,184,128,95,62,46,32,16
514.048,377,316,308,236,186,133,98,62,43,26,19
514.515,375,320,315,242,184,135,100,65,43,34,21
514.983,392,334,324,251,191,139,100,71,49,36,19
515.45,398,338,331,253,191,140,106,68,53,38,24
515.918,399,337,334,253,194,139,109,66,49,30,22
516.386,402,342,333,260,201,140,104,71,48,35,25
516.853,401,338,330,255,193,139,105,68,47,30,21
517.321,415,353,347,264,204,148,111,72,53,40,25
517.789,411,352,346,263,200,145,111,72,49,35,27
518.256,413,350,343,260,194,142,105,71,45,30,19
518.724,422,355,349,268,204,154,111,73,53,32,25
519.192,425,358,349,267,205,146,108,73,47,34,22
519.66,420,359,349,268,203,145,108,72,51,36,21
520.128,430,364,354,274,209,150,113,70,47,35,24
520.596,427,366,357,271,203,154,111,74,50,40,22
521.064,429,364,349,272,211,153,110,72,51,31,23
521.532,427,362,351,277,208,156,113,74,50,39,30
522,421,361,351,268,203,147,109,68,47,30,15
522.468,418,358,350,267,206,152,111,73,48,38,24
522.936,418,357,346,266,203,149,109,68,48,32,20
523.404,418,357,345,265,207,154,108,72,47,33,26
523.873,418,358,351,268,206,150,108,74,52,37,23
524.341,419,359,348,264,204,150,111,72,50,36,20
524.809,419,359,350,270,203,150,111,74,53,33,21
525.277,415,352,340,262,202,147,106,69,50,32,25
525.746,411,343,339,265,198,147,111,71,52,30,23
526.214,420,354,343,268,203,149,105,72,54,35,25
526.683,408,353,340,259,200,145,109,71,55,37,25
527.151,405,349,337,260,197,146,108,73,48,33,25
527.62,405,344,334,255,193,142,105,70,46,32,22
528.088,399,340,326,253,196,137,106,66,48,32,23
528.557,411,354,338,255,199,143,104,66,47,32,21
529.025,415,352,345,268,200,144,105,68,49,36,23
529.494,407,347,334,260,198,147,109,69,47,31,22
529.963,409,349,339,260,201,148,107,70,51,34,22
530.432,409,347,338,260,198,147,103,66,51,33,22
530.9,412,353,345,258,202,146,108,72,50,34,23
531.369,419,352,346,265,206,150,107,75,48,40,23
531.838,427,365,349,268,203,150,115,71,54,35,21
532.307,420,360,350,267,204,153,111,73,48,37,27
532.776,423,357,351,268,207,152,113,72,53,36,23
533.245,425,361,350,269,208,155,108,72,55,38,26
533.714,433,365,359,273,210,151,111,73,50,35,25
534.183,439,375,358,279,212,154,112,76,52,34,22
534.652,443,378,369,285,217,159,119,79,55,36,32
535.121,434,369,359,282,213,154,115,72,52,37,23
535.59,448,378,367,282,217,158,117,79,53,37,24
536.06,445,374,360,280,213,153,108,69,44,31,22
536.529,449,382,368,289,215,162,119,79,54,41,31
536.998,439,366,359,277,213,153,112,76,50,36,21
537.468,457,389,376,287,219,166,116,79,53,42,26
537.937,440,374,366,282,215,152,112,70,55,37,20
538.406,442,372,364,282,216,157,116,76,55,36,24
538.876,429,369,361,271,207,150,112,74,52,38,26
539.345,451,381,372,283,216,160,117,77,56,38,22
539.815,420,363,352,270,205,152,112,73,51,36,24
540.284,421,357,350,272,205,149,112,74,48,34,22
540.754,417,357.5,346.5,268.5,203,149,109,70.5,52.5,35,23
541.223,413,358,343,265,201,149,106,67,57,36,24
541.693,411,346,335,260,195,151,110,72,52,36,25
542.163,402,344,333,259,193,143,102,68,50,28,20
542.633,400,333,331,257,192,138,106,65,51,36,24
543.102,390,331,321,246,192,134,93,65,47,33,18
543.572,390,327,320,243,188,135,102,66,50,34,19
544.042,386,330,320,248,188,138,100,67,48,32,20
544.512,380,322,318,241,184,135,94,65,43,34,23
544.982,380,320,319,243,185,137,98,64,46,27,20
545.452,374,316,312,236,184,134,96,66,46,35,22
545.922,368,310,305,236,179,128,93,61,46,32,22
546.392,373,315,305,236,183,132,96,66,49,31,19
546.862,365,311,302,232,172,126,94,55,41,29,17
547.332,358,303,294,225,177,125,92,60,42,29,19
547.802,362,305,298,236,180,132,95,67,47,37,25
548.272,356,308,294,225,175,127,94,66,43,31,18
548.743,356,297,293,222,170,123,91,58,41,30,25
549.213,354,298,297,224,168,125,87,55,37,26,13
549.683,359,299,294,226,171,121,95,60,48,28,17
550.154,347,297,287,224,172,127,90,59,41,27,18
550.624,353,307,292,224,171,130,88,63,43,29,18
551.094,345,292,289,220,171,123,90,59,43,30,17
551.565,355,299,291,221,170,123,91,57,44,26,21
552.035,348,292,287,221,166,121,89,51,45,26,19
552.506,344,291,279,217,166,120,88,61,37,31,18
552.977,346,299,286,221,169,127,89,57,42,27,23
553.447,335,285,276,212,163,118,88,58,40,26,14
553.918,340,287,278,216,165,120,93,61,42,31,23
554.389,335,286,281,212,162,118,86,56,39,28,16
554.859,331,278,272,208,158,118,89,57,41,29,21
555.33,320,278,269,204,155,115,83,52,34,24,13
555.801,321,270,263,204,155,110,81,56,33,22,11
556.272,318,265,265,201,152,113,79,54,39,28,18
556.743,310,264,257,196,151,109,77,50,39,23,16
557.213,318,269,260,199,151,115,81,54,36,26,18
557.684,308,259,251,194,152,107,80,49,36,28,18
558.155,304,255,252,193,144,106,80,52,33,25,21
558.626,297,249,246,186,144,102,77,48,36,23,17
559.098,291,247,242,193,141,103,80,46,37,28,16
559.569,285,242,233,182,136,102,74,52,35,21,12
560.04,286,241,235,180,134,99,67,48,29,25,16
560.511,273,234,232,180,136,98,74,50,33,27,17
560.982,273,231,223,174,131,94,69,47,30,25,18
561.453,266,227,221,165,129,98,70,49,32,23,10
561.925,266,228,217,174,129,92,68,44,27,23,13
562.396,257,219,214,165,127,90,65,46,30,20,18
562.867,260,222,214,166,128,93,68,44,33,25,14
563.339,256,208,206,160,123,91,66,38,30,20,12
563.81,254,216,203,157,120,90,60,43,33,23,11
564.282,246,210,209,156,118,86,65,40,30,18,13
564.753,243,204,201,160,124,89,62,44,31,19,16
565.225,241,206,197,151,116,87,62,45,25,19,16
565.697,233,195,191,146,114,84,58,39,27,23,11
566.168,227,196,187,144,105,80,64,33,22,15,15
566.64,227,191,186,141,106,77,58,38,25,17,9
567.112,221,189,186,139,106,77,59,38,28,21,13
567.583,224,186,184,138,114,82,60,40,29,21,10
568.055,216,184,177,136,102,77,54,30,21,15,7
568.527,219,190,181,141,107,78,58,35,29,17,14
568.999,212,186,180,136,106,79,59,38,28,20,20
569.471,218,182,181,140,104,76,56,38,25,16,12
569.943,211,177,168,133,100,70,50,32,21,16,7
570.415,213,181,173,134,102,76,48,35,22,15,13
570.887,211,178,172,135,102,67,51,35,23,13,10
571.359,215,183,178,134,106,74,57,36,27,19,14
571.831,207,177,170,128,102,68,55,34,27,17,13
572.303,214,178,179,134,105,76,59,35,25,24,12
572.775,210,175,169,127,98,73,48,31,22,12,9
573.247,208,173,169,131,97,76,54,33,20,13,12
573.72,208,175,168,133,100,72,55,33,31,17,16
574.192,211,177,170,129,101,76,55,40,31,24,15
574.664,203,168,170,132,100,76,52,33,23,22,11
575.137,206,175,174,126,100,74,52,34,22,19,16
575.609,206,171,166,128,96,73,52,35,24,13,14
576.082,201,173,167,130,97,71,56,37,30,18,13
576.554,199,167,163,125,93,71,54,34,28,17,13
577.027,197,169,158,122,96,67,57,32,27,16,14
577.499,196,162,158,124,92,68,52,34,23,21,14
577.972,187,158,156,119,87,62,45,28,14,10,9
578.444,188,163,156,121,93,66,49,33,29,16,11
578.917,179,159,152,115,94,65,47,26,25,13,11
579.39,183,153,152,115,86,65,45,29,20,18,12
579.862,183,151,142,114,84,64,41,24,16,15,8
580.335,181,159,150,118,90,67,51,32,23,17,10
580.808,178,150,149,116,92,67,43,26,26,18,11
581.281,176,147,148,112,86,65,47,29,25,16,15
