wavelength,1,2,3,4,5,6,7,8,9,10
451.751,34,17,6,6,2,0,0,3,1,-3
452.213,28,13,3,2,0,1,-1,0,4,-4
452.676,31,14,5,6,8,2,-1,1,0,1
453.138,33,16,7,6,8,6,3,1,3,4
453.601,24,9,2,-1,-1,0,-3,-3,-1,0
454.063,26,14,1,-2,1,-5,-2,-2,-1,-5
454.526,28,14,5,8,0,-1,2,4,-1,-1
454.988,31,12,6,6,2,5,3,6,1,5
455.451,29,11,5,-1,1,3,1,-4,-2,-2
455.914,34,16,3,3,7,2,3,-7,2,1
456.376,33,17,7,1,8,5,4,6,0,5
456.839,33,17,7,7,6,4,3,4,6,1
457.302,29,19,8,3,4,6,0,3,4,3
457.765,27,16,10,9,7,6,1,8,6,7
458.228,32,15,4,7,5,0,2,3,4,2
458.69,29,15,5,5,2,-1,0,4,2,0
459.153,29,14,3,1,1,2,0,4,-2,4
459.616,30,18,4,6,1,4,2,-4,4,5
460.079,32,18,8,4,7,4,4,5,2,3
460.543,34,15,7,3,0,-1,5,6,2,1
461.006,35,17,9,9,4,4,9,7,3,3
461.469,33,16,10,8,7,6,3,5,2,5
461.932,31,13,9,3,4,2,-4,2,0,5
462.395,28,18,7,6,7,3,5,1,5,2
462.858,33,17,5,1,6,1,6,2,3,4
463.322,33,17,10,7,10,4,4,1,0,2
463.785,29,18,2,6,5,-3,0,4,2,-2
464.248,28,12,7,5,2,6,5,3,2,0
464.712,32,15,8,0,9,5,5,3,6,2
465.175,31,15,7,4,4,3,2,-3,5,3
465.639,29,17,5,6,2,2,2,0,-1,3
466.102,30,16,8,6,8,3,4,5,5,6
466.566,28,15,6,6,3,5,4,2,0,3
467.029,28,16,7,3,4,2,2,5,4,1
467.493,33,16,5,1,1,3,1,0,-2,5
467.957,24,15,5,6,3,3,6,2,0,-1
468.42,33,18,8,8,4,4,1,5,-1,1
468.884,30,13,8,3,7,2,2,-3,1,4
469.348,32,14,9,6,5,3,4,2,2,2
469.812,33,14,5,8,4,0,3,5,-1,4
470.276,32,17,9,9,2,3,2,4,6,3
